,Tweet Date,text,Twitter Handle
187,"10,13,2021 4:10",@georgiedeluxe come suck ‘em while i watch Sex Education season 3 on Netflix streaming service via my Samsung smart TV,casualkief
188,"10,13,2021 4:09",Just finished season 3 of Sex Education. I enjoy the complexity of the characters. None of them are just one thing. I like that. The season ended with one of my favorite songs by Big Star. Hells yeah. Big Star. Looking forward to season 4.,mimidancer
189,"10,13,2021 3:50",the season 3 finale of sex education 😭😭,iseultaeduan
190,"10,13,2021 3:31","just watched season 3 episode 1 of sex education. i’m starting to believe in otis &amp; ruby supremecy 😧 this is probably the best show netflix has made with the best cast, watch now if you haven’t",ghostgang111
191,"10,13,2021 2:59","Sex Education is great 😆 I’m halfway through Season 3. Just very well written- smart, funny…",emhed_
192,"10,13,2021 2:50",Just realized season 3 of Sex Education is out. 🙀,AracielChrist
193,"10,13,2021 2:49","Finished Sex Education season 3. It was dope a lot of character development for alot of characters. That’s dope by the writers. Now, Maeve &amp; Otis is cool but I’m all Ruby and Otis. I switched ships. Don’t like how they kinda pushed Ruby out the show after the break up 😔",Todd_Gully
194,"10,13,2021 2:26","OH GOD, JUST GOT TO THE POOP BUS SCENE IN THIS SEX EDUCATION SEASON 3. PLEASE TELL ME SOMEONE ELSE HAS SEEN THIS SO I CRINGE WITH SOMEONE.",ESPN_BillC
195,"10,13,2021 2:14",Gosh. Season 3 of Sex Education does it all. And does it great. Just great. ❤️,Dr_Tammy_Landau
196,"10,13,2021 1:57","sex education season 3
on my block season 4 https://t.co/gd8qDr3H2c",bisged3001
197,"10,13,2021 1:13","@diablofier I’m excited asf, I finished sex education season 3 in one night so I’m just sat here like: https://t.co/nZhxlf2rH4",UKJack0
198,"10,13,2021 0:39",Sex Education season 3: 11/10 https://t.co/vttkAMQH29,renansalomon1
199,"10,13,2021 0:34","Sex Education Season 3, Episode 3 

felt sad for cynthia's cat and for rubes :(((

ruby: ""i love you""

otis: ""that's nice. goodnight then. 

wtf",catapshiiii
200,"10,12,2021 23:24",adam groff sex education sex ed season 3 three edit fc fancam good old fashioned lover boy queen https://t.co/mly2b09akR,jackdwdrry
201,"10,12,2021 22:57","Just finished sex education season 3 and oh my God I am not going to recover from it for a while

In the mean time I watch squid game",8FLUTTERBUTTER8
202,"10,12,2021 22:56",Aimee Lou Wood speaks to Vogue about the release of season 3 of 'Sex Education'. https://t.co/cgcVuJYQrZ,BritishVogue
203,"10,12,2021 22:48","this video mostly sums up what i felt about sex education season 3 
https://t.co/nBvmHtHh9p",CHA0MIFAN
204,"10,12,2021 22:40",Finally made it to season 3 of sex education,SEAUXNiyia_
